Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2020-01-02;3244.67;3258.14;3235.53;3257.85;1921250000
2020-01-03;3226.36;3246.15;3222.34;3234.85;1922938889
2020-01-06;3217.55;3246.84;3214.64;3246.28;2041150000
2020-01-07;3241.86;3244.91;3232.43;3237.18;1900211111
2020-01-08;3238.59;3267.07;3236.67;3253.05;2067161111
2020-01-09;3266.03;3275.58;3263.67;3274.7;2021327778
2020-01-10;3281.81;3282.99;3260.86;3265.35;1784983333
2020-01-13;3271.13;3288.13;3268.43;3288.13;1920211111
2020-01-14;3285.35;3294.25;3277.19;3283.15;2036183333
2020-01-15;3282.27;3298.66;3280.69;3289.29;2064911111
2020-01-16;3302.97;3317.11;3302.82;3316.81;1963933333
2020-01-17;3323.66;3329.88;3318.86;3329.62;2054538889
2020-01-21;3321.03;3329.79;3316.61;3320.79;2280744444
2020-01-22;3330.02;3337.77;3320.04;3321.75;2011027778
2020-01-23;3315.77;3326.88;3301.87;3325.54;2091588889
2020-01-24;3333.1;3333.18;3281.53;3295.47;2059516667
2020-01-27;3247.16;3258.85;3234.5;3243.63;2123944444
2020-01-28;3255.35;3285.78;3253.22;3276.24;1959288889
2020-01-29;3289.46;3293.47;3271.89;3273.4;1991388889
2020-01-30;3256.45;3285.91;3242.8;3283.66;2104027778
2020-01-31;3282.33;3282.33;3214.68;3225.52;2515461111
2020-02-03;3235.66;3268.44;3235.66;3248.92;2087727778
2020-02-04;3280.61;3306.92;3280.61;3297.59;2219622222
2020-02-05;3324.91;3337.58;3313.75;3334.69;2287627778
2020-02-06;3344.92;3347.96;3334.39;3345.78;2149094444
2020-02-07;3335.54;3341.42;3322.12;3327.71;2072583333
2020-02-10;3318.28;3352.26;3317.77;3352.09;1916861111
2020-02-11;3365.87;3375.63;3352.72;3357.75;2089194444
2020-02-12;3370.5;3381.47;3369.72;3379.45;2181322222
2020-02-13;3365.9;3385.09;3360.52;3373.94;1943466667
2020-02-14;3378.08;3380.69;3366.15;3380.16;1887800000
2020-02-18;3369.04;3375.01;3355.61;3370.29;2081511111
2020-02-19;3380.39;3393.52;3378.83;3386.15;2000083333
2020-02-20;3380.45;3389.15;3341.02;3373.23;2226288889
2020-02-21;3360.5;3360.76;3328.45;3337.75;2166261111
2020-02-24;3257.61;3259.81;3214.65;3225.89;2690533333
2020-02-25;3238.94;3246.99;3118.77;3128.21;3106394444
2020-02-26;3139.9;3182.51;3108.99;3116.39;3043394444
2020-02-27;3062.54;3097.07;2977.39;2978.76;3921577778
2020-02-28;2916.9;2959.72;2855.84;2954.22;4757694444
2020-03-02;2974.28;3090.96;2945.19;3090.23;3542444444
2020-03-03;3096.46;3136.72;2976.63;3003.37;3531077778
2020-03-04;3045.75;3130.97;3034.38;3130.12;2797488889
2020-03-05;3075.7;3083.04;2999.83;3023.94;3097527778
2020-03-06;2954.2;2985.93;2901.54;2972.37;3640077778
2020-03-09;2863.89;2863.89;2734.43;2746.56;4679472222
2020-03-10;2813.48;2882.59;2734;2882.23;4242200000
2020-03-11;2825.6;2825.6;2707.22;2741.38;4096727778
2020-03-12;2630.86;2660.95;2478.86;2480.64;4905211111
2020-03-13;2569.99;2711.33;2492.37;2711.02;4588150000
2020-03-16;2508.59;2562.98;2380.94;2386.13;4323077778
2020-03-17;2425.66;2553.93;2367.04;2529.19;4643611111
2020-03-18;2436.5;2453.57;2280.52;2398.1;4864322222
2020-03-19;2393.48;2466.97;2319.78;2409.39;4414838889
2020-03-20;2431.94;2453.01;2295.56;2304.92;5024827778
2020-03-23;2290.71;2300.73;2191.86;2237.4;4112322222
2020-03-24;2344.44;2449.71;2344.44;2447.33;4192972222
2020-03-25;2457.77;2571.42;2407.53;2475.56;4603150000
2020-03-26;2501.29;2637.01;2500.72;2630.07;4307311111
2020-03-27;2555.87;2615.91;2520.02;2541.47;3441294444
2020-03-30;2558.98;2631.8;2545.28;2626.65;3192344444
2020-03-31;2614.69;2641.39;2571.15;2584.59;3649050000
2020-04-01;2498.08;2522.75;2447.49;2470.5;3304388889
2020-04-02;2458.54;2533.22;2455.79;2526.9;3586105556
2020-04-03;2514.92;2538.18;2459.96;2488.65;3381772222
2020-04-06;2578.28;2676.85;2574.57;2663.68;3551033333
2020-04-07;2738.65;2756.89;2657.67;2659.41;3911511111
2020-04-08;2685;2760.75;2663.3;2749.98;3253538889
2020-04-09;2776.99;2818.57;2762.36;2789.82;4377855556
2020-04-13;2782.46;2782.46;2721.17;2761.63;2930172222
2020-04-14;2805.1;2851.85;2805.1;2846.06;3093000000
2020-04-15;2795.64;2801.88;2761.54;2783.36;2890772222
2020-04-16;2799.34;2806.51;2764.32;2799.55;2877772222
2020-04-17;2842.43;2879.22;2830.88;2874.56;3217855556
2020-04-20;2845.62;2868.98;2820.43;2823.16;2900088889
2020-04-21;2784.81;2785.54;2727.1;2736.56;2819905556
2020-04-22;2787.89;2815.1;2775.95;2799.31;2805366667
